z1,z2
1.380186080932617188e+00,5.425696372985839844e-01
-1.032277345657348633e-01,-3.628312051296234131e-01
-9.888681769371032715e-02,-3.650777637958526611e-01
-1.481193542480468750e+00,1.838763058185577393e-01
8.473257422447204590e-01,4.286731481552124023e-01
-5.705991387367248535e-01,1.939029693603515625e-01
2.312851905822753906e+00,-8.856788277626037598e-03
-8.740575313568115234e-01,2.209646701812744141e-01
6.657081842422485352e-02,-2.001092880964279175e-01
-1.913290262222290039e+00,3.942542523145675659e-02
-5.381401181221008301e-01,2.464732527732849121e-01
-9.713511466979980469e-01,-7.033602893352508545e-02
-8.899021148681640625e-02,-1.820359826087951660e+00
-2.377026081085205078e-01,-4.024529457092285156e-02
-1.826294422149658203e+00,8.612422645092010498e-02
6.793126463890075684e-01,1.303274482488632202e-01
-1.201700448989868164e+00,-1.420324891805648804e-01
-5.829815268516540527e-01,-1.858721971511840820e-01
1.174054145812988281e-01,2.063504755496978760e-01
1.664389729499816895e+00,-2.862031757831573486e-02
3.625373244285583496e-01,6.921408176422119141e-01
4.375035464763641357e-01,-7.923281788825988770e-01
1.092258453369140625e+00,-1.425174236297607422e+00
-4.024367332458496094e-01,5.770281553268432617e-01
-5.552507042884826660e-01,7.831432819366455078e-01
2.381113767623901367e+00,-2.966531276702880859e+00
-1.314814329147338867e+00,-1.837607383728027344e+00
-1.815440893173217773e+00,2.547133564949035645e-01
1.297670364379882812e+00,6.093399524688720703e-01
-7.481397986412048340e-01,3.375260829925537109e-01
-5.783064365386962891e-01,4.057691395282745361e-01
-8.400857448577880859e-03,-2.038844227790832520e-01
2.629206180572509766e-01,-2.253019809722900391e-01
-5.451618432998657227e-01,9.416030645370483398e-01
9.536795020103454590e-01,-2.270651310682296753e-01
-7.404291629791259766e-02,6.347869634628295898e-01
1.226814389228820801e-01,-5.215161800384521484e+00
5.345720052719116211e-02,4.583208560943603516e+00
-3.080647289752960205e-01,2.025939941406250000e+00
5.190235376358032227e-01,1.240535140037536621e+00
-7.722209692001342773e-01,-5.412722826004028320e-01
6.955435872077941895e-01,3.325416445732116699e-01
-2.849050760269165039e+00,1.715949922800064087e-01
1.513014137744903564e-01,3.918647766113281250e-02
3.267716765403747559e-01,-1.368145346641540527e+00
9.054381847381591797e-01,4.028056263923645020e-01
-1.683670520782470703e+00,2.694388628005981445e-01
-6.001976132392883301e-01,1.465745866298675537e-01
-1.129110813140869141e+00,2.606630325317382812e-02
9.331951290369033813e-02,-3.785307705402374268e-01
-1.737200379371643066e+00,1.118620872497558594e+00
-3.628673255443572998e-01,-9.415145963430404663e-02
7.022176682949066162e-02,-1.180509626865386963e-01
1.325223803520202637e+00,2.108905017375946045e-01
-1.462230682373046875e+00,5.569447875022888184e-01
9.792871475219726562e-01,1.468674540519714355e+00
-1.039360165596008301e+00,4.872113466262817383e-01
-3.756063580513000488e-01,1.255306839942932129e+00
-7.678629159927368164e-01,-3.603472709655761719e-01
1.181915998458862305e+00,6.736930608749389648e-01
-5.249806642532348633e-01,-1.050305813550949097e-01
6.351052522659301758e-01,-2.564112246036529541e-01
3.824941813945770264e-01,-5.000293850898742676e-01
-8.944141864776611328e-02,1.501068472862243652e-03
